subject_id,class,class
1,1,1
2,1,1
3,1,1
4,1,1
5,1,1
6,1,1
7,1,1
8,1,1
9,1,1
10,1,1
11,1,1
12,1,1
13,1,1
14,1,1
15,1,1
16,1,1
17,1,1
18,1,1
19,1,1
20,1,1
21,1,1
22,1,1
23,1,1
24,1,1
25,1,1
26,1,1
27,1,1
28,1,1
29,1,1
30,1,1
31,2,1
32,2,1
33,2,1
34,2,1
35,2,1
36,2,1
37,2,1
38,2,1
39,2,1
40,2,1
41,2,1
42,2,1
43,2,1
44,2,1
45,2,1
46,2,1
47,2,1
48,2,1
49,2,1
50,2,1
51,2,1
52,2,1
53,2,1
54,2,1
55,2,1
56,2,1
57,2,1
58,2,1
59,2,1
60,2,1
61,3,1
62,3,2
63,3,2
64,3,2
65,3,2
66,3,2
67,3,2
68,3,2
69,3,2
70,3,2
71,3,2
72,3,2
73,3,2
74,3,2
75,3,2
76,3,2
77,3,2
78,3,2
79,3,2
80,3,2
81,3,2
82,3,2
83,3,2
84,3,2
85,3,2
86,3,2
87,3,2
88,3,2
89,3,2
90,3,2
91,4,2
92,4,2
93,4,2
94,4,2
95,4,2
96,4,2
97,4,2
98,4,2
99,4,2
100,4,2
101,4,2
102,4,2
103,4,2
104,4,2
105,4,2
106,4,2
107,4,2
108,4,2
109,4,2
110,4,2
111,4,2
112,4,2
113,4,2
114,4,2
115,4,2
116,4,2
117,4,2
118,4,2
119,4,2
120,4,2
121,5,2
122,5,2
123,5,2
124,5,2
125,5,2
126,5,2
127,5,3
128,5,3
129,5,3
130,5,3
131,5,3
132,5,3
133,5,3
134,5,3
135,5,3
136,5,3
137,5,3
138,5,3
139,5,3
140,5,3
141,5,3
142,5,3
143,5,3
144,5,3
145,5,3
146,5,3
147,5,3
148,5,3
149,5,3
150,5,3
151,6,3
152,6,3
153,6,3
154,6,3
155,6,3
156,6,3
157,6,3
158,6,3
159,6,3
160,6,3
161,6,3
162,6,3
163,6,3
164,6,3
165,6,3
166,6,3
167,6,3
168,6,3
169,6,3
170,6,3
171,6,3
172,6,3
173,6,3
174,6,3
175,6,3
176,6,3
177,6,3
178,6,3
179,6,3
180,6,3
181,7,3
182,7,3
183,7,3
184,7,3
185,7,3
186,7,3
187,7,3
188,7,3
189,7,3
190,7,3
191,7,3
192,7,3
193,7,3
194,7,3
195,7,3
196,7,3
197,7,3
198,7,3
199,7,3
200,7,3
201,7,3
202,7,3
203,7,3
204,7,3
205,7,3
206,7,3
207,7,3
208,7,3
209,7,3
210,7,3
211,8,3
212,8,3
213,8,3
214,8,3
215,8,3
216,8,3
217,8,3
218,8,3
219,8,3
220,8,3
221,8,3
222,8,3
223,8,3
224,8,3
225,8,3
226,8,3
227,8,3
228,8,3
229,8,3
230,8,3
231,8,3
232,8,3
233,8,3
234,8,3
235,8,3
236,8,3
237,8,3
238,8,3
239,8,3
240,8,3
241,9,3
242,9,3
243,9,3
244,9,3
245,9,4
246,9,4
247,9,4
248,9,4
249,9,4
250,9,4
251,9,4
252,9,4
253,9,4
254,9,4
255,9,4
256,9,4
257,9,4
258,9,4
259,9,4
260,9,4
261,9,4
262,9,4
263,9,4
264,9,4
265,9,4
266,9,4
267,9,4
268,9,4
269,9,4
270,9,4
271,1,4
272,1,4
273,1,4
274,1,4
275,1,4
276,1,4
277,1,4
278,1,4
279,1,4
280,1,4
281,1,4
282,1,4
283,1,4
284,1,4
285,1,4
286,1,4
287,1,4
288,1,4
289,1,4
290,1,4
291,1,4
292,1,4
293,1,4
294,1,4
295,1,4
296,1,4
297,1,4
298,1,4
299,1,4
300,1,4
301,1,4
302,2,4
303,2,4
304,2,4
305,2,4
306,2,4
307,2,4
308,2,4
309,2,4
310,2,4
311,2,4
312,2,4
313,2,4
314,2,4
315,2,4
316,2,4
317,2,4
318,2,4
319,2,5
320,2,5
321,2,5
322,2,5
323,2,5
324,2,5
325,2,5
326,2,5
327,2,5
328,2,5
329,2,5
330,2,5
331,2,5
332,2,5
333,2,5
334,2,5
335,2,5
336,2,5
337,3,5
338,3,5
339,3,5
340,3,5
341,3,5
342,3,5
