subject_id,class,class
1,1,1
2,1,1
3,1,1
4,1,1
5,1,1
6,1,1
7,1,1
8,1,1
9,1,1
10,1,1
11,1,1
12,1,1
13,2,1
14,2,1
15,2,1
16,2,1
17,2,1
18,2,1
19,2,1
20,2,1
21,2,1
22,2,1
23,2,1
24,2,1
25,3,2
26,3,2
27,3,2
28,3,2
29,3,2
30,3,2
31,3,2
32,3,2
33,3,2
34,3,2
35,3,2
36,3,2
37,4,2
38,4,2
39,4,2
40,4,2
41,4,2
42,4,2
43,4,2
44,4,2
45,4,2
46,4,2
47,4,2
48,4,2
49,5,3
50,5,3
51,5,3
52,5,3
53,5,3
54,5,3
55,5,3
56,5,3
57,5,3
58,5,3
59,5,3
60,5,3
61,6,3
62,6,3
63,6,3
64,6,3
65,6,3
66,6,3
67,6,3
68,6,3
69,6,3
70,6,3
71,6,3
72,6,3
73,7,4
74,7,4
75,7,4
76,7,4
77,7,4
78,7,4
79,7,4
80,7,4
81,7,4
82,7,4
83,7,4
84,7,4
85,8,4
86,8,4
87,8,4
88,8,4
89,8,4
90,8,4
91,8,4
92,8,4
93,8,4
94,8,4
95,8,4
96,8,4
97,9,5
98,9,5
99,9,5
100,9,5
101,9,5
102,9,5
103,9,5
104,9,5
105,9,5
106,9,5
107,9,5
108,9,5
109,10,5
110,10,5
111,10,5
112,10,5
113,10,5
114,10,5
115,10,5
116,10,5
117,10,5
118,10,5
119,10,5
120,10,5
121,11,6
122,11,6
123,11,6
124,11,6
125,11,6
126,11,6
127,11,6
128,11,6
129,11,6
130,11,6
131,11,6
132,11,6
133,12,6
134,12,6
135,12,6
136,12,6
137,12,6
138,12,6
139,12,6
140,12,6
141,12,6
142,12,6
143,12,6
144,12,6
145,13,7
146,13,7
147,13,7
148,13,7
149,13,7
150,13,7
151,13,7
152,13,7
153,13,7
154,13,7
155,13,7
156,13,7
157,14,7
158,14,7
159,14,7
160,14,7
161,14,7
162,14,7
163,14,7
164,14,7
165,14,7
166,14,7
167,14,7
168,14,7
169,15,8
170,15,8
171,15,8
172,15,8
173,15,8
174,15,8
175,15,8
176,15,8
177,15,8
178,15,8
179,15,8
180,15,8
181,1,8
182,1,8
183,1,8
184,1,8
185,1,8
186,1,8
187,1,8
188,1,8
189,1,8
190,1,8
191,1,8
192,1,8
193,2,9
194,2,9
195,2,9
196,2,9
197,2,9
198,2,9
199,2,9
200,2,9
201,2,9
202,2,9
203,2,9
204,2,9
205,3,9
206,3,9
207,3,9
208,3,9
209,3,9
210,3,9
211,3,9
212,3,9
213,3,9
214,3,9
215,3,9
216,3,9
217,4,10
218,4,10
219,4,10
220,4,10
221,4,10
222,4,10
223,4,10
224,4,10
225,4,10
226,4,10
227,4,10
228,4,10
229,5,10
230,5,10
231,5,10
232,5,10
233,5,10
234,5,10
235,5,10
236,5,10
237,5,10
238,5,10
239,5,10
240,5,10
241,6,11
242,6,11
243,6,11
244,6,11
245,6,11
246,6,11
247,6,11
248,6,11
249,6,11
250,6,11
251,6,11
252,6,11
253,7,11
254,7,11
255,7,11
256,7,11
257,7,11
258,7,11
259,7,11
260,7,11
261,7,11
262,7,11
263,7,11
264,7,11
265,8,12
266,8,12
267,8,12
268,8,12
269,8,12
270,8,12
271,8,12
272,8,12
273,8,12
274,8,12
275,8,12
276,8,12
277,9,12
278,9,12
279,9,12
280,9,12
281,9,12
282,9,12
283,9,12
284,9,12
285,9,12
286,9,12
287,9,12
288,9,12
289,10,13
290,10,13
291,10,13
292,10,13
293,10,13
294,10,13
295,10,13
296,10,13
297,10,13
298,10,13
299,10,13
300,10,13
301,11,13
302,11,13
303,11,13
304,11,13
305,11,13
306,11,13
307,11,13
308,11,13
309,11,13
310,11,13
311,11,13
312,11,13
313,12,14
314,12,14
315,12,14
316,12,14
317,12,14
318,12,14
319,12,14
320,12,14
321,12,14
322,12,14
323,12,14
324,12,14
325,13,14
326,13,14
327,13,14
328,13,14
329,13,14
330,13,14
331,13,14
332,13,14
333,13,14
334,13,14
335,13,14
336,13,14
337,14,15
338,14,15
339,14,15
340,14,15
341,14,15
342,14,15
343,14,15
344,14,15
345,14,15
346,14,15
347,14,15
348,14,15
349,15,15
350,15,15
351,15,15
352,15,15
353,15,15
354,15,15
355,15,15
356,15,15
357,15,15
358,15,15
359,15,15
360,15,15
