subject_id,class,"pamIndexVec",class
1,6,1,1
2,5,2,1
3,4,3,1
4,8,2,1
5,6,2,1
6,3,3,1
7,2,4,1
8,8,2,1
9,8,1,1
10,3,5,1
11,7,1,1
12,8,2,1
13,8,3,1
14,1,2,1
15,5,3,1
16,7,6,1
17,8,2,1
18,1,4,1
19,2,7,1
20,2,4,1
21,5,2,1
22,2,6,1
23,1,1,1
24,5,4,1
25,6,1,1
26,4,3,1
27,8,2,1
28,5,4,1
29,5,1,1
30,7,7,1
31,5,2,1
32,1,2,1
33,1,2,1
34,5,5,1
35,6,2,1
36,3,1,1
37,6,5,1
38,8,6,1
39,1,7,1
40,2,2,1
41,7,3,1
42,6,3,1
43,4,1,1
44,7,6,1
45,3,1,1
46,6,7,1
47,8,1,1
48,6,7,1
49,5,1,1
50,8,2,1
51,4,2,1
52,5,3,1
53,4,3,1
54,6,5,1
55,5,6,1
56,5,8,1
57,6,8,1
58,7,6,1
59,1,4,1
60,1,4,1
61,2,4,1
62,6,6,1
63,4,3,1
64,6,5,1
65,6,2,1
66,5,2,1
67,1,1,1
68,7,1,1
69,7,4,1
70,8,2,1
71,7,7,1
72,7,5,1
73,3,2,1
74,5,5,1
75,5,1,1
76,3,7,1
77,4,1,1
78,2,7,1
79,4,6,1
80,1,2,1
81,2,7,1
82,8,4,1
83,3,2,1
84,5,5,1
85,3,3,1
86,8,2,1
87,7,5,1
88,6,5,1
89,3,7,1
90,2,2,1
91,4,1,1
92,5,1,1
93,7,1,1
94,1,4,1
95,7,2,1
96,2,2,1
97,1,4,1
98,4,2,1
99,4,2,1
100,1,3,1
101,3,7,1
102,3,1,1
103,1,4,1
104,4,1,1
105,6,8,1
106,1,4,1
107,3,4,1
108,5,4,1
109,6,2,1
110,4,3,1
111,5,6,1
112,5,1,1
113,8,3,1
114,3,2,1
115,7,1,1
116,2,1,1
117,7,1,1
118,6,2,1
119,8,1,1
120,5,8,1
121,1,4,1
122,8,1,1
123,3,2,1
124,8,6,1
125,2,1,1
126,4,2,1
127,8,4,1
128,2,7,1
129,7,5,1
130,2,2,1
131,2,1,1
132,8,2,1
133,5,6,1
134,3,3,1
135,7,1,1
136,1,7,1
137,2,4,1
138,4,1,1
139,3,3,1
140,1,7,1
141,6,2,1
142,5,6,1
143,7,7,1
144,2,1,1
145,4,3,1
146,1,2,1
147,7,8,1
148,1,4,1
149,8,2,1
150,4,3,1
151,4,3,1
152,2,4,1
153,1,7,1
154,4,3,1
155,8,2,1
156,3,3,1
157,3,3,1
158,4,5,1
159,2,4,1
160,1,1,1
161,6,3,1
162,4,7,1
163,6,7,1
164,4,1,1
165,6,7,1
166,8,3,1
167,4,4,1
168,5,1,1
169,3,3,1
170,2,6,1
171,3,2,1
172,6,5,1
173,7,1,1
174,7,4,1
175,3,2,1
176,7,1,1
177,2,2,1
178,7,2,1
179,2,7,1
180,1,2,1
181,8,2,1
182,6,2,1
183,3,2,1
184,4,4,1
185,7,4,1
186,2,4,1
187,5,7,1
188,2,4,1
189,7,4,1
190,3,1,1
191,1,6,1
192,4,3,1
193,2,2,1
194,8,4,1
195,8,6,1
196,6,5,1
197,3,3,1
198,6,2,1
199,3,7,1
200,1,3,1
201,5,7,1
202,3,2,1
203,7,4,1
204,4,3,1
205,4,3,1
206,1,2,1
207,7,1,1
208,5,1,1
209,2,4,1
210,6,4,1
211,1,5,1
212,6,2,1
